backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
KNOT_DNS_DNSSEC_ON,dap_encrypt_enc_cap,30,0.001214,0.001137,0.000439,0.000611,0.002604
KNOT_DNS_DNSSEC_ON,dap_scenario_total,30,0.002432,0.002330,0.000708,0.001267,0.004210
KNOT_DNS_DNSSEC_ON,decrypt_message,30,0.000016,0.000014,0.000007,0.000007,0.000037
KNOT_DNS_DNSSEC_ON,discovery_scenario_total,30,0.040291,0.040305,0.007221,0.026524,0.056316
KNOT_DNS_DNSSEC_ON,encrypt_message,30,0.000044,0.000042,0.000014,0.000021,0.000078
KNOT_DNS_DNSSEC_ON,generate_identity_c1,30,0.000178,0.000181,0.000005,0.000169,0.000185
KNOT_DNS_DNSSEC_ON,generate_identity_cp,30,0.002522,0.002128,0.001578,0.001979,0.010203
KNOT_DNS_DNSSEC_ON,generate_identity_s1,30,0.000178,0.000180,0.000006,0.000167,0.000188
KNOT_DNS_DNSSEC_ON,generate_identity_sp,30,0.000187,0.000190,0.000009,0.000171,0.000202
KNOT_DNS_DNSSEC_ON,idap_authorize,30,0.062987,0.062423,0.014748,0.031428,0.107581
KNOT_DNS_DNSSEC_ON,idap_replay_check,30,0.057502,0.059342,0.009895,0.041623,0.080419
KNOT_DNS_DNSSEC_ON,idap_scenario_total,30,0.136580,0.143659,0.020411,0.089822,0.162122
KNOT_DNS_DNSSEC_ON,initialize_store,30,0.000004,0.000004,0.000000,0.000003,0.000005
KNOT_DNS_DNSSEC_ON,publish_identity_c1,30,0.461339,0.176371,0.419431,0.145843,1.063791
KNOT_DNS_DNSSEC_ON,publish_identity_cp,30,0.526059,0.558636,0.102720,0.146632,0.589537
KNOT_DNS_DNSSEC_ON,publish_identity_s1,30,0.285411,0.171502,0.304002,0.140433,1.054107
KNOT_DNS_DNSSEC_ON,publish_identity_sp,30,0.206169,0.176802,0.159532,0.150595,1.047404
KNOT_DNS_DNSSEC_ON,publish_provider_registry,30,0.560560,0.335672,0.393509,0.302105,1.228842
KNOT_DNS_DNSSEC_ON,publish_scenario_total,30,2.465479,2.588230,0.347491,1.679966,3.097889
KNOT_DNS_DNSSEC_ON,publish_service_metadata,30,0.425942,0.341062,0.268485,0.308282,1.233173
KNOT_DNS_DNSSEC_ON,resolve_service_public_key,30,0.014318,0.014271,0.003669,0.008499,0.027698
KNOT_DNS_DNSSEC_ON,startup_scenario_total,30,0.003069,0.002676,0.001581,0.002500,0.010762
KNOT_DNS_DNSSEC_ON,tampered_request_sign,30,0.000479,0.000516,0.000073,0.000265,0.000573
KNOT_DNS_DNSSEC_ON,tampering_check,30,0.061130,0.061966,0.010370,0.036095,0.081518
KNOT_DNS_DNSSEC_ON,tampering_scenario_total,30,0.061609,0.062469,0.010419,0.036361,0.082037
KNOT_DNS_DNSSEC_ON,total_flow,30,2.717059,2.858187,0.349974,1.915297,3.358221
KNOT_DNS_DNSSEC_ON,transcript_verify,30,0.000572,0.000565,0.000221,0.000295,0.001652
